Model,MAE,MSE,RMSE
Linear Regression,0.3545995047768162,0.453628084656692,0.6735191791305516
Random Forests,0.41638696229023847,0.4934897783604142,0.7024882763152808
Decision Trees,0.4935447372309641,0.7948205106498824,0.8915270666950512
Neural Network,0.3298387230674906,0.47465705367129407,0.6889535932639397
