Model,MAE,MSE,RMSE
Linear Regression,0.03443725476284101,0.0037268647525530944,0.061048052815410044
Random Forests,0.043618201400262596,0.004480309931017267,0.06693511732280198
Decision Trees,0.054609646396244396,0.007958359968892464,0.08920964056026941
Neural Network,0.03348882831875281,0.0037500904218457226,0.06123798185640773
