Model,MAE,MSE,RMSE
Linear Regression,0.09439288743855802,0.034906826388395686,0.1868336864390244
Random Forests,0.11792346859069502,0.04167426615427307,0.20414275925017047
Decision Trees,0.1445261554591917,0.06922524581126864,0.2631069094707865
Neural Network,0.09488447368334817,0.03551426035791564,0.18845227607517942
