Model,MAE,MSE,RMSE
Linear Regression,0.09957905626785613,0.04485787311271034,0.2117967731404573
Random Forests,0.12392365652040402,0.05238711277795583,0.22888231206879187
Decision Trees,0.1552815905955815,0.08736449120826384,0.295574848740998
Neural Network,0.11020446922155452,0.046388114506924316,0.21537900201023386
